Time,Price
2012-10-31,18.51
2012-11-01,18.59
2012-11-02,18.5
2012-11-03,18.9
2012-11-03,18.9
2012-11-04,17.95
2012-11-06,17.95
2012-11-07,17.74
2012-11-07,17.95
2012-11-09,17.89
2012-11-09,17.89
2012-11-10,18.7
2012-11-11,18.5
2012-11-13,17.91
2012-11-13,18.02
2012-11-16,17.81
2012-11-16,18.05
2012-11-17,18.14
2012-11-18,17.86
2012-11-19,12.99
2012-11-24,17.15
2012-11-25,18.18
2012-11-29,18.32
2012-12-01,18.27
2012-12-02,18.59
2012-12-02,18.76
2012-12-02,18.63
2012-12-03,18.07
2012-12-04,17.95
2012-12-06,18.11
2012-12-06,18.43
2012-12-06,18.59
2012-12-08,18.76
2012-12-08,18.68
2012-12-09,18.42
2012-12-09,18
2012-12-10,18.58
2012-12-10,18.55
2012-12-11,18.2
2012-12-13,18.59
2012-12-16,19.06
2012-12-17,18.88
2012-12-19,18.71
2012-12-20,18.56
2012-12-21,18.64
2013-01-06,19.99
2013-01-14,19.99
2013-01-15,19.99
2013-01-25,19.9
2013-01-26,19.94
2013-01-27,19.97
2013-01-28,19.98
2013-01-29,19.94
2013-01-30,19.99
2013-02-07,19.73
2013-02-09,19.99
2013-02-23,19.61
2013-02-25,19.83
2013-02-28,19.99
2013-03-03,19.99
2013-03-04,19.99
2013-03-11,19.95
2013-03-12,19.95
2013-03-14,19.99
2013-04-08,19.99
2013-04-09,19.99
2013-04-10,19.99
2013-04-11,19.99
2013-04-16,19.96
2013-04-17,19.99
2013-04-25,19.95
2013-05-01,19.99
2013-05-04,19.99
2013-05-08,19.99
2013-05-13,19.95
2013-05-24,19.95
2013-05-24,13.99
2013-05-28,19.95
2013-06-02,19.99
2013-06-06,19.95
2013-06-09,19.95
2013-06-12,13.99
2013-06-15,19.99
2013-06-19,19.95
2013-06-19,19.95
2013-07-08,19.99
2013-07-14,19.95
2013-07-23,19.35
2013-07-26,19.95
2013-08-11,19.16
2013-08-18,19.16
2013-08-26,19.16
2013-09-14,17.65
2013-09-18,17.61
2013-09-21,17.68
2013-09-21,17.46
2013-09-24,17.68
2013-09-25,17.68
2013-09-27,17.46
2013-09-27,17.68
2013-10-01,17.68
2013-10-03,17.68
2013-10-18,17.99
2013-10-19,17.2
2013-10-30,13.99
2013-11-02,17.2
2013-11-13,17.1
2013-11-22,18.99
2013-11-23,19.14
2013-11-25,19.21
2013-11-26,18.99
2013-11-28,19.21
2013-11-29,19.08
2013-12-02,14.99
2013-12-06,18.72
2013-12-12,18.21
2014-01-10,15.2
2014-02-08,15.16
2014-02-09,15.2
2014-02-12,15.2
2014-02-16,15.2
2014-02-21,15.6
2014-02-22,15.12
2014-02-25,16.21
2014-03-15,16.2
2014-03-23,16.2
2014-04-09,16.2
2014-04-24,16.2
2014-05-03,16.2
2014-05-07,17.02
2014-05-08,17.2
2014-05-16,16.2
2014-05-25,16.45
2014-06-06,16.2
2014-06-16,16.92
2014-09-08,16.91
2014-09-17,17.61
2014-09-24,16.19
2014-09-29,17.61
2014-10-03,18.32
2014-10-05,18.45
2014-10-09,19.12
2014-10-22,19.12
2014-10-31,19.12
2014-11-29,18.14
2014-11-30,17.34
2014-12-10,16.19
2014-12-21,18.48
2014-12-22,17.57
2015-02-17,18.15
2015-02-21,18.66
2015-02-25,19.2
2015-03-01,14.57
2015-03-09,19.99
2015-03-14,19.97
2015-03-24,19.97
2015-03-30,19.93
2015-04-03,19.97
2015-04-20,19.97
2015-05-01,17.99
2015-05-04,18.2
2015-05-14,18.2
2015-05-21,18.2
2015-05-30,19.97
2015-06-13,19.97
2015-06-19,19.97
2015-06-26,19.97
2015-06-30,19.97
2015-09-07,17.54
2015-09-10,18.36
2015-09-13,19.17
2015-09-14,19.73
2015-09-29,19.75
2015-10-02,15.99
2015-11-03,19.73
2015-11-03,19.73
2015-11-03,19.34
2015-11-04,19.34
2015-11-06,19.73
2015-11-07,18.86
2015-11-08,18.48
2015-11-11,19.29
2015-11-12,19.28
2015-11-14,17.99
2015-11-15,18.11
2015-11-24,19.73
2015-11-28,19.75
2015-12-01,15.99
2015-12-11,19.75
2015-12-12,19.75
2015-12-16,19.65
2015-12-20,16.98
2016-02-04,19.99
2016-02-21,19.99
2016-02-29,19.99
2016-03-26,16.99
2016-04-29,19.97
2016-05-13,19.95
2016-10-28,19.99
2016-10-29,14.99
2016-11-03,14.99
2016-11-08,14.99
2016-11-16,14.99
2016-11-26,14.99
