Time,Price
2013-05-13,24.99
2013-05-14,21.58
2013-05-15,21.58
2013-05-17,21.66
2013-05-17,21.5
2013-05-21,21.21
2013-05-22,21.61
2013-05-23,22.03
2013-05-24,23.66
2013-05-26,23.93
2013-05-26,23.85
2013-05-27,23.67
2013-05-30,23.52
2013-05-31,23.46
2013-06-01,23.31
2013-06-01,23.13
2013-06-02,22.89
2013-06-05,23.05
2013-06-05,23.05
2013-06-07,23.59
2013-06-07,23.59
2013-06-10,23.15
2013-06-11,22.96
2013-06-14,24.15
2013-06-18,24.43
2013-06-27,24.99
2013-06-30,22.47
2013-07-03,22.62
2013-07-10,22.47
2013-07-13,22.88
2013-07-19,22.88
2013-07-22,23.87
2013-07-22,23.38
2013-07-25,23.87
2013-07-25,23.87
2013-07-26,23.43
2013-07-31,23.87
2013-07-31,23.87
2013-08-01,23.61
2013-08-03,23.26
2013-08-04,22.59
2013-08-06,22.24
2013-08-07,21.17
2013-08-09,23.2
2013-08-12,22.65
2013-08-22,22.92
2013-08-22,23.2
2013-08-29,22.63
2013-08-29,23.2
2013-09-01,23.2
2013-09-04,23.01
2013-09-04,22
2013-09-07,21.28
2013-09-14,21.28
2013-09-17,21.2
2013-09-20,21.23
2013-09-23,20.46
2013-09-26,20.43
2013-10-06,21.27
2013-10-09,20.43
2013-10-12,14.99
2013-10-15,21.49
2013-10-17,21.41
2013-10-18,21.25
2013-10-20,21.49
2013-10-23,21.25
2013-10-24,21.49
2013-10-26,21.38
2013-10-27,21.49
2013-10-30,21.27
2013-11-02,17.49
2013-11-02,17.49
2013-11-20,14.99
2013-11-22,19.42
2013-11-23,19.42
2013-11-25,20.39
2013-11-25,19.85
2013-11-26,20.18
2013-11-28,20.4
2013-11-28,20.4
2013-12-04,19.13
2013-12-04,19.13
2013-12-05,19.05
2013-12-07,18.97
2013-12-08,18.89
2013-12-08,18.89
2013-12-09,14.99
2013-12-12,19.13
2013-12-14,19.05
2013-12-15,18.89
2013-12-17,18.81
2013-12-20,18.21
2013-12-23,18.81
2013-12-25,20.21
2013-12-26,20.21
2013-12-27,20.13
2013-12-28,21.72
2013-12-30,20.72
2014-01-01,18.21
2014-01-01,20.72
2014-01-03,19.72
2014-01-04,19.72
2014-01-04,18.2
2014-01-05,19.72
2014-01-08,19.47
2014-01-11,19.72
2014-01-16,19.72
2014-01-20,18.72
2014-01-20,14.99
2014-01-29,17.71
2014-02-08,20.21
2014-02-11,18.81
2014-02-14,17.74
2014-02-15,18.81
2014-02-17,22.54
2014-02-18,22.39
2014-02-21,21.81
2014-02-24,22.37
2014-02-24,21.7
2014-02-27,22.8
2014-02-28,22.6
2014-03-03,22.46
2014-03-06,23.22
2014-03-07,23.22
2014-03-10,22.7
2014-03-15,20.17
2014-03-15,20.17
2014-03-19,20.17
2014-04-08,16.8
2014-04-12,21.9
2014-04-16,17.49
2014-05-02,23.43
2014-05-03,22.75
2014-05-06,23.35
2014-05-07,22.8
2014-05-10,23.55
2014-05-11,23.44
2014-05-14,23.34
2014-05-15,23.38
2014-05-18,18.81
2014-05-19,18.63
2014-05-22,21.46
2014-06-03,19.28
2014-06-04,19.2
2014-06-09,19.28
2014-06-10,19.1
2014-06-21,19.1
2014-06-26,18.2
2014-06-26,18.12
2014-07-10,17.49
2014-07-25,20.13
2014-07-26,20.35
2014-07-30,23.28
2014-08-06,24.98
2014-08-07,24.3
2014-08-21,17.49
2014-09-05,17.7
2014-09-08,20.35
2014-09-16,19.91
2014-09-17,20.24
2014-09-20,19.91
2014-09-20,21.21
2014-09-20,19.92
2014-09-23,19.91
2014-09-24,20.31
2014-09-28,19.91
2014-10-03,19.43
2014-10-08,19.43
2014-10-15,19.43
2014-10-16,19.43
2014-10-22,19.43
2014-10-25,19.44
2014-10-26,19.43
2014-11-04,16.24
2014-11-17,19.43
2014-11-18,19.43
2014-11-21,19.43
2014-11-24,19.21
2014-11-28,19.22
2014-12-01,19.21
2014-12-02,18.92
2014-12-02,19.54
2014-12-02,19.62
2014-12-02,14.99
2014-12-03,14.99
2014-12-03,19.21
2014-12-05,19.21
2014-12-06,19.21
2014-12-06,19.21
2014-12-08,19.22
2014-12-09,19.21
2014-12-10,18.96
2014-12-10,18.97
2014-12-11,18.93
2014-12-12,18.92
2014-12-14,18.21
2014-12-17,17.2
2014-12-18,12.5
2014-12-19,17.2
2014-12-20,18.49
2014-12-21,18.49
2014-12-21,18.49
2014-12-25,17.7
2014-12-25,17.7
2014-12-28,17.33
2014-12-28,17.7
2014-12-29,17.33
2014-12-30,17.28
2014-12-30,17.28
2014-12-31,17.91
2014-12-31,17.76
2015-01-01,17.99
2015-01-01,17.99
2015-01-03,24.5
2015-01-04,23.06
2015-01-04,24.22
2015-01-04,24.5
2015-01-06,24.5
2015-02-15,18.49
2015-02-19,18.49
2015-02-23,19.99
2015-02-24,18.49
2015-02-27,18.49
2015-03-12,18.99
2015-03-17,18.99
2015-03-19,18.41
2015-03-20,18.99
2015-03-21,18.41
2015-03-24,18.41
2015-03-25,18.41
2015-03-28,18.99
2015-04-01,20.99
2015-04-01,20.99
2015-04-02,20.99
2015-04-05,20.99
2015-04-08,20.99
2015-04-12,20.78
2015-04-15,20.99
2015-04-16,21.21
2015-04-19,21.21
2015-04-20,17.49
2015-04-23,15.49
2015-04-26,17.49
2015-04-30,17.49
2015-04-30,17.49
2015-05-04,18.42
2015-05-04,21.21
2015-05-07,17.99
2015-05-13,17.99
2015-05-14,17.99
2015-06-07,17.99
2015-06-08,17.99
2015-06-14,17.99
2015-06-18,17.99
2015-06-22,17.99
2015-06-26,17.99
2015-07-18,21.22
2015-07-22,18.89
2015-07-23,22.37
2015-07-25,18.89
2015-08-14,18.99
2015-09-04,20.79
2015-09-06,21.79
2015-09-08,21.79
2015-09-09,21.88
2015-09-12,20.79
2015-09-13,18.72
2015-09-13,18.99
2015-09-26,18.99
2015-09-30,18.99
2015-09-30,18.99
2015-10-03,18.99
2015-11-03,16.99
2015-11-05,16.99
2015-11-17,16.99
2015-11-19,16.99
2015-11-21,16.99
2015-11-22,16.99
2015-11-25,16.99
2015-11-27,16.99
2015-11-30,14.44
2015-11-30,14.44
2015-12-01,16.99
2015-12-01,16.99
2015-12-04,16.99
2015-12-04,16.99
2015-12-05,16.99
2015-12-07,12.49
2015-12-08,16.99
2015-12-11,16.99
2015-12-18,24.99
2015-12-18,15.44
2015-12-18,23
2015-12-18,24.99
2015-12-19,24.99
2015-12-19,24.99
2015-12-21,24.99
2015-12-23,24.99
2015-12-23,24.99
2015-12-25,24.96
2015-12-30,20.9
2016-01-02,20.73
2016-01-02,20.9
2016-01-03,20.9
2016-01-04,20.73
2016-01-08,20.73
2016-01-10,19.7
2016-02-01,19.61
2016-02-01,19.61
2016-02-02,19.61
2016-02-19,19.11
2016-02-19,19.49
2016-02-27,19.99
2016-03-02,19.99
2016-03-03,19.99
2016-03-14,19.49
2016-03-15,19.99
2016-03-16,19.59
2016-03-16,19.99
2016-03-20,19.99
2016-03-21,19.61
2016-03-21,19.61
2016-03-24,20.44
2016-03-25,19.99
2016-03-27,19.43
2016-03-27,19.43
2016-03-28,19.43
2016-03-30,19.99
2016-04-02,19.54
2016-04-06,19.99
2016-04-06,19.99
2016-04-10,19.45
2016-04-10,19.99
2016-04-10,19.99
2016-04-13,19.99
2016-04-14,20.79
2016-04-27,20.49
2016-05-11,20.66
2016-05-25,21.99
2016-05-26,22.74
2016-05-26,22.74
2016-05-28,19.99
2016-09-20,17.99
2016-10-25,16.27
2016-10-27,16.27
2016-10-28,16.27
2016-10-29,16.27
2016-10-30,16.27
2016-10-30,16.27
2016-10-30,16.27
2016-10-31,16.27
2016-10-31,16.27
2016-11-01,16.27
2016-11-01,16.27
2016-11-01,16.27
2016-11-01,16.27
2016-11-02,16.27
2016-11-03,16.27
2016-11-03,16.27
2016-11-03,16.27
2016-11-03,16.27
2016-11-04,16.27
2016-11-04,14.39
2016-11-04,14.39
2016-11-04,14.39
2016-11-05,14.39
2016-11-05,14.39
2016-11-05,14.39
2016-11-06,16.27
2016-11-06,16.27
2016-11-06,14.39
2016-11-06,14.39
2016-11-07,14.39
2016-11-08,14.39
2016-11-08,14.39
2016-11-08,14.39
2016-11-08,14.39
2016-11-08,14.39
2016-11-09,14.39
2016-11-10,14.39
2016-11-10,14.39
2016-11-10,14.39
2016-11-11,14.39
2016-11-11,14.39
2016-11-11,14.39
2016-11-11,14.39
2016-11-12,14.39
2016-11-12,14.39
2016-11-12,14.39
2016-11-12,14.39
2016-11-13,14.39
2016-11-13,14.39
2016-11-14,14.39
2016-11-14,14.39
2016-11-14,14.39
2016-11-14,14.39
2016-11-14,14.39
2016-11-15,14.39
2016-11-15,14.39
2016-11-15,14.39
2016-11-16,14.39
2016-11-16,14.39
2016-11-16,14.39
2016-11-17,14.39
2016-11-17,14.39
2016-11-17,14.39
2016-11-17,14.39
2016-11-17,14.39
2016-11-17,14.39
2016-11-18,14.39
2016-11-18,14.39
2016-11-18,14.39
2016-11-18,14.39
2016-11-18,14.39
2016-11-19,14.39
2016-11-19,14.39
2016-11-19,12.59
2016-11-20,12.59
2016-11-20,13.79
2016-11-20,13.79
2016-11-20,13.79
2016-11-20,13.79
2016-11-21,13.79
2016-11-21,13.79
2016-11-21,13.79
2016-11-21,13.79
2016-11-21,13.79
2016-11-22,13.79
2016-11-22,13.79
2016-11-22,13.79
2016-11-22,13.79
2016-11-22,13.79
2016-11-22,13.79
2016-11-22,13.79
2016-11-23,13.79
2016-11-23,13.79
2016-11-23,13.79
2016-11-23,13.79
2016-11-23,13.79
2016-11-23,13.79
2016-11-23,13.79
2016-11-23,13.79
2016-11-23,13.79
2016-11-24,13.79
2016-11-24,13.79
2016-11-24,13.79
2016-11-24,13.79
2016-11-24,13.79
2016-11-24,13.79
2016-11-24,13.79
2016-11-24,13.79
2016-11-24,13.79
2016-11-24,13.79
2016-11-24,13.79
2016-11-24,13.79
2016-11-25,13.79
2016-11-25,13.79
2016-11-25,13.79
2016-11-25,13.79
2016-11-25,13.79
2016-11-25,13.79
2016-11-25,13.79
2016-11-25,13.79
2016-11-25,13.79
2016-11-25,13.79
2016-11-25,13.79
2016-11-26,13.79
2016-11-26,13.79
