Time,Price
2013-05-31,24.99
2013-06-05,24.99
2013-06-07,24.99
2013-06-10,21.99
2013-07-03,24.99
2013-07-06,24.99
2013-07-15,24.99
2013-08-09,24.97
2013-08-12,23.74
2013-08-21,19.98
2013-09-13,19.98
2013-09-16,19.98
2013-09-23,19.99
2013-09-28,20.55
2013-10-02,20.57
2013-10-08,19.99
2013-10-20,18.74
2013-10-29,19.99
2013-11-01,18.74
2013-11-04,14.99
2013-11-21,20.99
2013-11-24,19.97
2013-11-27,20.19
2013-11-30,21.48
2013-12-01,20.99
2013-12-04,17.49
2013-12-07,14.99
2013-12-10,11.99
2013-12-10,16.99
2013-12-13,12.48
2013-12-13,12.75
2013-12-15,12.95
2013-12-16,12.81
2013-12-18,12.93
2013-12-20,14.01
2013-12-22,17.75
2013-12-22,17.75
2013-12-28,17.75
2014-01-04,17.75
2014-01-07,17.75
2014-01-08,18.64
2014-01-11,18.64
2014-01-16,18.64
2014-02-04,18.64
2014-02-14,18.64
2014-02-27,18.64
2014-03-03,18.64
2014-03-11,18.64
2014-03-14,18.64
2014-03-14,18.64
2014-03-22,18.64
2014-04-07,18.64
2014-04-07,21.97
2014-04-12,18.64
2014-05-02,18.99
2014-05-06,18.99
2014-05-13,18.64
2014-05-15,18.49
2014-05-22,18.64
2014-06-03,18.64
2014-06-25,17.99
2014-07-09,17.99
2014-07-25,17.99
2014-07-29,17.99
2014-08-21,17.99
2014-08-25,17.99
2014-08-30,17.99
2014-09-06,17.99
2014-09-11,17.99
2014-09-23,17.99
2014-09-24,17.99
2014-09-27,17.99
2014-10-02,17.99
2014-10-06,17.99
2014-10-14,17.99
2014-10-14,17.99
2014-10-25,17.99
2014-11-04,17.49
2014-11-12,17.49
2014-11-20,17.49
2014-11-24,22.32
2014-11-28,22.53
2014-12-01,24.9
2014-12-05,22.74
2014-12-25,21.27
2014-12-28,21.27
2015-01-03,22.62
2015-02-15,23.37
2015-02-19,23.12
2015-02-23,23.37
2015-03-26,24.99
2015-03-28,24.99
2014-06-09,13.40
2014-07-16,17.99
2014-09-06,17.99
2014-10-19,17.99
2014-10-28,17.99
2014-10-31,17.99
2014-11-01,17.49
2014-11-04,17.20
2014-11-10,17.49
2014-11-12,17.49
2014-11-23,22.32
2014-12-02,24.99
2014-12-03,22.74
2014-12-13,23.11
2014-12-17,21.71
2014-12-23,21.27
2015-01-11,24.99
2015-01-27,20.63
2015-02-09,24.99
2015-02-20,23.12
2015-03-06,23.80
2015-03-08,30.13
2015-03-08,24.49
2015-03-10,28.99
2015-03-12,28.12
2015-03-18,27.80
2015-03-18,27.85
2015-03-19,28.00
2015-03-19,28.25
2015-03-25,28.00
2015-03-26,27.99
2015-04-03,30.00
2015-04-09,27.74
2015-04-11,29.50
2015-04-15,30.44
2015-04-21,33.95
2015-04-27,34.99
2015-04-30,32.99
2015-05-25,39.99
2015-06-17,39.98
2015-06-17,39.74
2015-06-22,39.75
2015-06-22,38.95
2015-06-26,38.50
2015-06-28,38.70
2015-07-12,28.20
2015-07-24,33.54
2015-07-26,34.75
2015-07-26,36.99
2015-07-26,36.50
2015-08-10,35.49
2015-08-16,44.95
2015-08-19,34.99
2015-08-25,44.99
2015-08-31,56.95
2015-09-04,54.89
2015-09-17,52.99
2015-09-20,39.62
2015-09-22,43.84
2016-11-27,43.84
