Time,Price
2013-08-12,21.99
2013-09-21,21.99
2013-10-16,19.99
2013-10-29,19.99
2013-11-02,14.99
2013-11-04,14.99
2013-11-21,19.99
2013-11-24,19.99
2013-11-25,19.99
2013-11-27,14.99
2013-11-28,21.99
2013-11-30,21.99
2013-12-01,20.99
2013-12-04,19.99
2013-12-10,19.99
2013-12-21,19.99
2013-12-25,19.99
2014-01-03,21.99
2014-01-04,21.99
2014-01-07,20.21
2014-01-11,22.21
2014-01-12,19.99
2014-01-30,19.26
2014-01-31,19.99
2014-02-06,23.75
2014-02-09,21.99
2014-02-11,19.99
2014-02-17,19.99
2014-02-20,19.99
2014-02-27,19.75
2014-03-02,19.99
2014-03-09,19.99
2014-03-14,19.99
2014-03-17,19.99
2014-03-21,19.99
2014-04-06,17
2014-04-11,17
2014-04-14,19.72
2014-04-23,19.94
2014-04-27,21.99
2014-06-06,19.99
