Time,Price
2013-06-27,39.99
2013-07-28,34.89
2013-09-06,34.19
2013-09-13,34.88
2013-09-16,34.89
2013-09-24,34.89
2013-10-02,34.97
2013-10-03,34.97
2013-10-08,34.89
2013-10-12,34.97
2013-10-12,34.97
2013-10-28,31.99
2013-10-31,29.99
2013-11-02,29.99
2013-11-20,29.99
2013-11-27,32.99
2013-11-30,29
2013-12-02,25
2013-12-03,31.98
2013-12-03,31.99
2013-12-04,34.99
2013-12-04,34.88
2013-12-05,34.99
2013-12-05,34.88
2013-12-08,31.99
2013-12-08,34.99
2013-12-10,31.99
2013-12-17,25.98
2013-12-18,25.98
2013-12-24,25.98
2013-12-25,20.78
2014-01-02,25.98
2014-01-03,25.98
2014-01-08,25.98
2014-01-12,25.98
2014-01-28,34.88
2014-02-01,31.99
2014-02-14,31.45
2014-02-14,31.45
2014-02-18,31.45
2014-02-20,31.45
2014-02-27,31.31
2014-02-28,31.45
2014-03-09,31.45
2014-03-17,31.45
2014-04-07,31.45
2014-04-11,27.99
2014-04-16,28
2014-05-10,28
2014-05-10,28
2014-05-21,28
2014-06-02,25.99
2014-06-08,25.99
2014-06-09,25.99
2014-06-23,25.99
2014-06-27,25.99
2014-07-09,25.99
2014-07-10,25.99
2014-07-24,28
2014-07-30,25.99
2014-08-05,28
2014-08-20,25.27
2014-08-22,25.27
2014-08-29,25.27
2014-08-31,24.34
2014-09-04,25
2014-09-11,25
2014-09-15,25
2014-09-16,25
2014-10-03,26.6
2014-10-14,26.1
2014-10-15,26.52
2014-10-24,26
2014-10-26,26
2014-11-04,25.91
2014-11-05,26.2
2014-11-08,25.91
2014-11-09,25.91
2014-11-11,14.99
2014-12-01,22.17
2014-12-04,29.99
2014-12-05,20.46
2014-12-21,17.69
2014-12-25,17.67
2015-01-04,29.97
2015-01-04,29.97
2015-02-14,38.21
2015-02-15,38.21
2015-02-18,38.21
2015-02-22,38.21
2015-02-23,38.21
2015-02-27,38.21
2015-02-28,38.21
2015-03-03,38.21
2015-03-04,38.21
2015-03-11,34.41
2015-03-12,34.4
2015-03-16,34.54
2015-03-18,34.54
2015-03-21,34
2015-03-22,34
2015-03-31,24.97
2015-04-04,29.98
2015-04-05,29.98
2015-04-08,29.98
2015-04-09,29.98
2015-04-11,29.98
2015-04-12,29.98
