Time,Price
2013-09-02,49.99
2013-09-06,40
2013-09-14,40
2013-10-01,39.99
2013-10-02,39.99
2013-10-07,39.59
2013-10-09,39.59
2013-10-09,39.99
2013-10-24,39.99
2013-10-25,39.99
2013-10-27,39.99
2013-10-31,34.99
2013-10-31,34.99
2013-11-01,34.99
2013-11-04,34.99
2013-11-04,34.99
2013-11-05,34.99
2013-11-07,34.99
2013-11-19,34.99
2013-11-25,34.99
2013-11-25,34.99
2013-11-26,34.99
2013-11-26,34.99
2013-11-29,49.99
2013-11-29,49.99
2013-11-30,49.99
2013-12-01,49.99
2013-12-01,49.99
2013-12-02,42.49
2013-12-05,49.99
2013-12-05,48.25
2013-12-05,49.99
2013-12-09,49.99
2013-12-12,49.99
2013-12-13,49.99
2013-12-18,76.25
2013-12-20,74.99
2013-12-22,73.88
2013-12-23,69.99
2013-12-23,70
2013-12-25,69.99
2013-12-26,69.99
2013-12-26,63
2013-12-27,69.99
2013-12-27,64.36
2013-12-28,64.35
2013-12-29,63.99
2013-12-30,59.99
2013-12-30,59.99
2013-12-31,49.99
2013-12-31,49.99
2014-01-03,49.99
2014-01-04,49.99
2014-01-04,49.5
2014-01-04,49.99
2014-01-05,49.99
2014-01-06,49.99
2014-01-07,49.99
2014-01-10,49.99
2014-01-11,48.99
2014-01-13,48.99
2014-01-14,49.49
2014-01-16,48.48
2014-01-16,49.99
2014-01-16,49.5
2014-01-17,51.11
2014-01-17,49.18
2014-01-18,49.02
2014-01-18,49.01
2014-01-19,48.5
2014-01-19,48.5
2014-01-20,48.5
2014-01-20,48.96
2014-01-20,48.96
2014-01-21,48.5
2014-01-22,48.5
2014-01-31,58.96
2014-01-31,58.96
2014-02-01,59.73
2014-02-01,59.73
2014-02-01,59.73
2014-02-03,59.99
2014-02-04,64.99
2014-02-04,58.79
2014-05-22,49.99
2014-05-23,49.99
2014-05-27,49.99
2014-05-28,49.99
2014-06-01,49.99
2014-06-06,47.33
2014-06-08,49.99
2014-06-09,49.99
2014-06-15,48.49
2014-06-21,49.68
2014-06-24,49.49
2014-06-25,49.96
2014-06-29,48.95
2014-07-02,48.99
2014-07-09,49.99
2014-07-12,47.99
2014-07-14,48.99
2014-07-16,47.85
2014-07-17,45.45
2014-07-19,47.43
2014-07-22,47.43
2014-07-26,46.42
2014-07-30,46.43
2014-07-31,46.43
2014-08-07,46.46
2014-08-20,44.99
2014-08-29,44.94
2014-08-31,44.98
2014-09-04,48.82
2014-09-06,44.44
2014-09-11,44.44
2014-09-12,44.44
2014-09-20,43.97
2014-09-24,43.9
2014-09-27,43.9
2014-09-29,43.9
2014-10-03,43.86
2014-10-07,43.86
2014-10-15,43.43
2014-10-26,43.43
2014-11-05,43.43
2014-11-08,43.43
2014-11-09,43.43
2014-11-20,42.42
2014-11-27,42.42
2014-11-27,38.83
2014-11-29,38.83
2014-11-30,38.83
2014-12-01,36.42
2014-12-05,36.18
2014-12-06,29.47
2014-12-25,25.46
2014-12-30,25.46
2015-01-12,42.37
2015-02-14,34.49
2015-02-15,34.49
2015-02-19,34.49
2015-02-20,34.49
2015-02-23,34.49
2015-02-24,34.49
2015-02-27,34.49
2015-02-28,34.49
2015-03-03,34.49
2015-03-04,34.49
2015-03-11,38.06
2015-03-13,39.35
2015-03-17,40.25
2015-03-18,40.13
2015-03-23,41.41
2015-03-27,42.99
2015-04-12,49.99
2015-05-28,49.43
2015-05-29,49.43
2015-06-01,48.95
2015-06-03,48.45
2015-06-04,48.45
2015-06-05,48.45
2015-06-05,48.29
2015-06-06,48.29
2015-06-07,47.44
2015-06-07,47.83
2015-06-08,47.83
2015-06-08,47.43
2015-06-09,46.88
2015-06-09,46.42
2015-06-10,43.94
2015-06-10,45.91
2015-06-11,45.41
2015-06-12,44.93
2015-06-14,44.4
2015-06-16,44.9
2015-06-22,44.4
2015-06-24,44.4
2015-06-24,44.4
2015-06-26,43.99
2015-07-06,43.99
2015-07-10,42.76
2015-07-15,42.9
2015-07-19,43.99
2015-07-26,40.99
2015-08-06,40.99
2015-08-08,40.99
2015-08-15,40.99
2015-08-16,40.99
2015-08-16,40.99
2015-08-18,40.99
2015-08-21,40.99
2015-08-26,47.38
2015-09-12,48.99
2014-06-09,49.99
2014-06-11,49.99
2014-06-12,48.00
2014-06-14,48.00
2014-06-15,47.99
2014-06-15,48.00
2014-06-16,49.74
2014-06-17,49.33
2014-06-18,49.29
2014-06-18,49.00
2014-06-18,49.00
2014-06-18,49.69
2014-06-19,49.33
2014-06-19,49.23
2014-06-19,49.28
2014-06-19,49.49
2014-06-20,49.69
2014-06-20,49.18
2014-06-20,49.23
2014-06-21,49.18
2014-06-21,49.18
2014-06-22,49.28
2014-06-22,49.18
2014-06-22,49.18
2014-06-24,49.96
2014-06-24,48.99
2014-06-25,49.96
2014-06-27,49.96
2014-06-27,49.99
2014-06-27,49.99
2014-06-29,48.95
2014-07-06,48.99
2014-07-08,49.99
2014-07-12,47.99
2014-07-13,48.99
2014-07-14,48.99
2014-07-15,48.44
2014-07-15,47.40
2014-07-16,47.85
2014-07-16,46.99
2014-07-16,47.43
2014-07-17,47.43
2014-07-17,44.99
2014-07-17,47.43
2014-07-23,45.99
2014-07-23,45.99
2014-07-23,45.99
2014-07-25,46.42
2014-07-26,46.42
2014-07-30,46.43
2014-07-31,46.43
2014-07-31,46.41
2014-08-01,64.37
2014-08-01,45.99
2014-08-01,64.37
2014-08-02,45.99
2014-08-02,64.37
2014-08-02,45.99
2014-08-03,64.37
2014-08-03,45.99
2014-08-04,64.37
2014-08-04,45.99
2014-08-04,64.37
2014-08-04,45.97
2014-08-04,45.99
2014-08-05,64.37
2014-08-05,45.99
2014-08-06,45.98
2014-08-06,45.99
2014-08-16,45.75
2014-08-17,45.28
2014-08-17,45.75
2014-08-22,44.99
2014-08-22,44.99
2014-08-23,44.66
2014-08-24,44.99
2014-08-25,44.53
2014-08-26,44.75
2014-08-26,44.53
2014-08-26,44.73
2014-08-27,44.53
2014-08-27,44.50
2014-08-28,44.53
2014-09-01,44.49
2014-09-01,44.50
2014-09-02,44.33
2014-09-03,44.50
2014-09-03,44.33
2014-09-03,43.99
2014-09-04,44.49
2014-09-04,44.19
2014-09-05,43.99
2014-09-06,44.19
2014-09-07,43.99
2014-09-10,43.99
2014-09-12,43.99
2014-09-16,43.59
2014-09-16,43.99
2014-09-17,43.58
2014-09-17,43.99
2014-09-17,43.53
2014-09-17,43.53
2014-09-18,43.53
2014-09-20,43.97
2014-09-24,43.90
2014-09-25,43.90
2014-09-25,43.97
2014-09-25,43.90
2014-09-26,43.90
2014-09-27,43.90
2014-09-28,43.90
2014-09-29,43.90
2014-09-29,43.90
2014-10-01,43.90
2014-10-01,43.90
2014-10-02,43.86
2014-10-04,43.86
2014-10-04,43.90
2014-10-05,43.90
2014-10-05,42.89
2014-10-05,43.86
2014-10-05,43.86
2014-10-06,43.86
2014-10-06,43.86
2014-10-06,43.86
2014-10-07,43.86
2014-10-08,43.86
2014-10-08,43.43
2014-10-08,43.86
2014-10-09,43.86
2014-10-09,43.43
2014-10-10,43.43
2014-10-11,43.43
2014-10-12,43.43
2014-10-13,43.43
2014-10-13,42.99
2014-10-13,43.43
2014-10-14,43.43
2014-10-15,43.43
2014-10-15,43.43
2014-10-16,43.43
2014-10-18,43.43
2014-10-19,43.43
2014-10-20,43.43
2014-10-21,43.43
2014-10-21,42.56
2014-10-21,43.43
2014-10-22,43.43
2014-10-22,43.43
2014-10-24,43.43
2014-10-25,43.43
2014-10-26,43.43
2014-10-27,43.43
2014-10-28,43.43
2014-10-29,43.43
2014-10-30,43.43
2014-10-30,43.43
2014-11-01,43.43
2014-11-02,43.43
2014-11-19,42.42
2014-11-19,43.43
2014-11-21,42.42
2014-11-22,42.42
2014-11-26,24.99
2014-11-27,42.42
2014-12-03,36.42
2014-12-04,36.18
2014-12-05,29.47
2014-12-06,29.12
2014-12-07,28.65
2014-12-09,27.93
2014-12-10,26.13
2014-12-10,26.13
2014-12-12,23.76
2014-12-13,29.87
2014-12-17,27.19
2014-12-19,26.45
2014-12-20,25.46
2014-12-26,25.46
2014-12-27,25.19
2014-12-28,25.46
2014-12-28,25.46
2014-12-30,23.95
2014-12-31,24.95
2015-01-01,25.66
2015-01-03,25.46
2015-01-12,25.46
2015-01-13,25.46
2015-01-14,25.46
2015-01-18,25.99
2015-01-21,25.00
2015-01-21,25.99
2015-01-28,24.99
2015-01-31,25.99
2015-02-10,25.98
2015-02-15,25.98
2015-02-15,25.98
2015-03-01,25.98
2015-03-08,32.49
2015-03-11,34.49
2015-03-13,39.35
2015-03-13,39.26
2015-03-15,38.49
2015-03-18,40.13
2015-03-31,49.95
2015-04-06,49.99
2015-05-03,55.10
2015-05-26,49.97
2015-06-05,48.42
2015-06-15,44.40
2015-07-15,40.52
2015-07-22,43.50
2015-08-05,40.99
2015-08-20,47.38
2015-08-29,48.47
2015-09-05,49.85
2015-09-12,47.99
2015-09-17,49.90
2015-09-27,44.95
2015-10-16,55.99
2015-10-22,52.99
2015-10-29,59.99
2015-11-09,68.99
2015-11-19,64.79
2015-11-26,67.55
2015-12-16,85.99
2015-12-27,71.95
2015-12-31,69.50
2016-01-15,67.50
2016-01-31,67.40
2016-02-12,67.50
2016-02-24,68.89
2016-03-04,73.96
2016-03-10,68.99
2016-03-14,73.96
2016-11-26,199.48
2016-11-27,199.48
