Time,Price
2013-07-04,25.6
2013-07-07,26.45
2013-07-10,26.24
2013-07-13,22.1
2013-07-16,22.76
2013-07-19,23.85
2013-07-22,23.58
2013-07-25,23.66
2013-07-28,24.1
2013-07-31,24.22
2013-08-03,26.99
2013-08-09,24.99
2013-09-01,24.99
2013-09-04,24.77
2013-09-07,23.8
2013-09-14,24.2
2013-09-20,20.99
2013-09-23,17
2013-09-29,17
2013-10-03,24.99
2013-11-05,20.99
2013-11-08,16.99
2013-11-11,14.99
2013-11-21,16.88
2013-12-03,16.88
2013-12-10,16.88
2013-12-16,14.99
2013-12-17,14.99
2013-12-17,14.99
2013-12-21,14.99
2013-12-22,14.99
2013-12-25,14.99
2013-12-25,20.98
2013-12-31,20.98
2014-01-03,20.98
2014-01-08,21.98
2014-01-20,21.99
2014-02-04,17.98
2014-02-08,17.98
2014-02-11,17.98
2014-02-21,17.98
2014-02-27,13.48
2014-03-03,16.99
2014-03-06,13.59
2014-07-30,9.99
2014-06-09,13.59
2014-07-05,12.99
2014-08-17,12.64
2014-10-07,11.00
2014-10-10,11.49
2014-11-11,11.95
2014-11-20,14.30
2014-12-02,14.95
2014-12-02,14.99
2014-12-05,14.29
2014-12-06,14.95
2014-12-10,14.77
2014-12-12,14.92
2014-12-18,10.06
2014-12-19,10.06
2014-12-24,10.06
2014-12-27,10.06
2014-12-27,10.06
2014-12-29,10.06
2014-12-30,10.06
2014-12-30,10.06
2015-01-01,10.06
2015-01-03,10.06
2015-01-06,10.06
2015-01-10,10.06
2015-01-12,10.06
2015-01-13,10.06
2015-02-07,9.99
2015-02-15,12.09
2015-02-18,11.99
2015-02-23,11.99
2015-03-04,11.99
2015-03-09,11.98
2015-03-13,11.99
2015-03-13,11.99
2015-03-17,11.99
2015-03-25,11.99
2015-04-02,11.99
2015-04-25,13.99
2015-04-29,14.18
2015-05-01,14.48
2015-05-06,14.18
2015-05-13,14.67
2015-05-14,14.75
2015-06-09,13.79
2015-06-14,14.45
2015-06-21,13.01
2015-07-01,12.80
2015-07-23,11.97
2015-07-31,11.49
2015-10-06,11.10
2015-10-18,11.05
2015-10-18,11.10
2015-10-21,11.05
2015-11-01,10.99
2015-11-14,10.93
2015-11-19,10.75
2015-11-23,10.90
2016-11-27,10.90
