Time,Price
2013-08-12,9.55
2013-09-13,6.96
2013-09-17,6.96
2013-09-19,6.96
2013-09-23,6.96
2013-09-25,6.96
2013-09-28,5.84
2013-09-30,5.7
2013-10-01,6.96
2013-10-17,5.57
2013-10-30,5.22
2013-11-19,6.99
2013-11-21,9.99
2013-11-21,6.96
2013-11-22,6.96
2013-11-26,6.96
2013-11-30,5.35
2013-12-14,6.69
2013-12-17,6.69
2013-12-28,6.69
2013-12-31,6.69
2014-01-03,6.69
2014-01-12,6.69
2014-01-17,6.25
2014-01-19,6.23
2014-01-25,6.19
2014-02-23,6.19
2014-02-27,5.77
2014-03-02,5.73
2014-03-04,5.73
2014-03-11,5.73
2014-03-14,5.73
2014-03-27,5.73
2015-12-01,5.99
2016-01-09,5.99
2016-01-29,5.98
2016-02-11,5.85
2016-02-17,5.78
2016-03-15,5.85
2016-03-19,5.8
2016-04-04,5.99
2016-04-29,5.54
2016-05-09,5.44
2016-05-13,5.43
2016-05-30,5.43
2016-06-03,5.68
2016-10-26,5.75
2016-11-26,5.75
2014-06-09,5.73
2014-07-29,5.24
2014-09-26,4.50
2014-11-19,5.59
2014-12-02,4.55
2014-12-15,5.59
2015-01-19,5.25
2015-01-27,5.31
2015-02-19,5.39
2015-04-26,5.59
2015-05-17,6.99
2015-06-13,6.80
2015-06-29,6.99
2015-07-02,6.96
2015-07-08,5.99
2015-07-25,4.79
2015-08-19,5.49
2015-11-23,4.33
2015-12-15,4.49
2016-01-13,4.19
2016-01-18,4.63
2016-01-22,4.97
2016-01-29,5.98
2016-02-25,4.49
2016-04-25,4.79
2016-04-28,5.99
2016-05-06,5.46
2016-05-19,5.43
2016-07-30,5.16
2016-08-28,3.98
2016-11-10,3.98
2016-11-26,5.51
2016-11-27,5.51
