Time,Price
2014-02-04,24.36
2014-02-04,24.36
2014-02-07,24.36
2014-02-07,24.36
2014-02-07,24.36
2014-02-13,24.36
2014-02-17,24.36
2014-02-20,24.36
2014-02-23,24.36
2014-02-27,24.36
2014-03-02,24.43
2014-03-03,22.72
2014-03-05,22.65
2014-03-06,22.65
2014-03-09,23.05
2014-03-14,23.1
2014-03-14,23.1
2014-03-17,23.05
2014-03-17,23.05
2014-03-18,22.96
2014-03-21,23.07
2014-04-06,24.41
2014-04-11,24.41
2014-04-12,24.41
2014-04-15,24.41
2014-04-16,24.41
2014-04-25,23.09
2014-04-25,23.09
2014-04-28,23.09
2014-05-01,23.09
2014-05-05,23.36
2014-05-09,23.36
2014-05-10,23.39
2014-05-10,23.39
2014-05-13,23.39
2014-05-17,23.28
2014-05-21,23.28
2014-06-08,23.28
2014-06-21,23.47
2014-06-23,23.47
2014-06-25,23.47
2014-07-08,21.52
2014-07-09,21.52
2014-07-14,21.52
2014-07-24,21.7
2014-07-25,21.79
2014-07-28,21.79
2014-07-29,21.79
2014-08-04,22.05
2014-08-20,22.23
2014-08-28,22.23
2014-09-26,23.21
2014-09-27,23.21
2014-09-28,23.21
2014-10-01,23.21
2014-10-06,23.21
2014-10-14,23.18
2014-10-24,23.8
2014-11-03,24.67
2014-11-07,24.67
2014-11-09,24.96
2014-11-11,24.99
2014-11-20,25.16
2014-11-20,25.16
2014-11-23,25.01
2014-11-27,24.92
2014-12-01,24.75
2014-12-04,25.8
2014-06-09,20.04
2014-06-24,18.99
2014-07-05,18.41
2014-08-04,18.34
2014-08-06,18.41
2014-08-08,18.32
2014-08-18,18.29
2014-09-12,18.24
2014-10-19,19.80
2014-10-30,24.45
2014-11-14,21.62
2014-11-14,21.39
2014-11-16,21.32
2014-11-19,21.27
2014-11-28,21.28
2014-12-01,22.85
2014-12-08,22.65
2014-12-10,26.45
2014-12-29,25.90
2015-01-01,26.90
2015-01-13,25.50
2015-01-14,22.65
2015-01-24,24.94
2015-01-26,25.18
2015-02-19,22.65
2015-03-01,26.45
2015-03-14,24.95
2015-05-10,22.50
2015-05-11,23.70
2015-09-01,20.86
2015-09-06,20.86
2015-09-09,22.65
2015-09-09,22.65
2015-09-10,22.65
2015-09-11,20.86
2015-09-12,22.65
2015-09-17,22.65
2015-09-19,22.65
2015-09-20,22.65
2015-09-22,22.65
2015-09-23,22.65
2015-09-24,22.65
2015-09-25,22.65
2015-09-26,22.65
2015-09-27,22.65
2015-11-05,23.78
2015-11-14,24.59
2015-11-16,24.92
2015-11-16,32.95
2015-11-17,36.90
2015-11-21,39.95
2015-11-23,43.90
2015-11-24,24.34
2015-11-25,36.09
2015-11-30,43.90
2015-12-30,43.00
2016-01-04,39.95
2016-01-06,36.99
2016-01-12,22.65
2016-02-12,22.65
2016-02-14,22.65
2016-03-03,22.65
2016-03-05,22.65
2016-03-08,22.50
2016-03-16,12.99
2016-04-16,12.99
2016-05-22,22.30
2016-08-14,17.99
2016-11-26,20.58
2016-11-27,20.58
