Time,Price
2012-07-20,11.96
2012-10-18,14.3
2012-10-18,14.82
2012-10-19,11.96
2012-11-07,18.17
2012-11-07,18.15
2012-11-09,18.09
2012-11-10,18.09
2012-11-10,18.43
2012-11-11,18.78
2012-11-12,18.78
2012-11-12,19.14
2012-11-13,19.5
2012-11-13,19.87
2012-11-13,20.25
2012-11-14,21.43
2012-11-14,21.84
2012-11-15,19.43
2012-11-15,19.43
2012-11-20,19.8
2012-11-22,20.18
2012-11-24,21.35
2012-11-26,21.76
2012-11-27,22.6
2012-11-28,23.03
2012-11-29,23.47
2012-11-30,23.92
2012-12-01,24.38
2012-12-02,24.85
2012-12-03,24.95
2012-12-06,22.02
2012-12-08,22.44
2012-12-08,22.87
2012-12-09,23.31
2012-12-10,23.76
2012-12-11,24.22
2012-12-13,24.95
2012-12-20,24.95
2012-12-22,24.95
2013-01-01,24.95
2013-01-03,24.95
2013-01-07,24.95
2013-01-10,15.31
2013-01-11,24.95
2013-01-13,23.31
2013-01-14,24.95
2013-01-15,16.8
2013-01-17,24.95
2013-01-18,15.54
2013-01-19,16.8
2013-01-20,19.43
2013-01-20,24.95
2013-01-22,24.95
2013-01-24,24.95
2013-01-25,16.8
2013-01-29,16.8
2013-01-30,24.95
2013-01-31,20.31
2013-02-01,16.48
2013-02-07,16.35
2013-02-07,16.94
2013-02-08,16.94
2013-02-09,14.87
2013-02-11,14.99
2013-02-12,22.86
2013-02-13,17.13
2013-02-14,15.04
2013-02-15,19.25
2013-02-16,16.34
2013-02-18,19.03
2013-02-19,14.99
2013-02-19,14.99
2013-02-20,15.04
2013-02-21,15.04
2013-02-28,15.04
2013-03-01,15.66
2013-03-02,15.11
2013-03-04,15.35
2013-03-05,15.09
2013-03-06,12.83
2013-03-08,12.51
2013-03-13,15.44
2013-03-14,15.44
2013-03-14,15.3
2013-03-17,14.98
2013-03-18,15.35
2013-03-19,15.64
2013-03-20,15.74
2013-03-21,15.74
2013-03-22,15.84
2013-03-23,15.94
2013-03-23,16.05
2013-03-24,21.82
2013-03-25,21.82
2013-03-26,14.99
2013-03-27,18.57
2013-03-27,15.57
2013-03-29,15.38
2013-03-29,15.38
2013-03-30,23.38
2013-03-31,17.95
2013-04-01,15.78
2013-04-03,19.92
2013-04-03,15.4
2013-04-04,15.4
2013-04-05,15.36
2013-04-06,23.12
2013-04-07,17.75
2013-04-08,17.13
2013-04-09,24.74
2013-04-09,15.96
2013-04-10,15.78
2013-04-12,24.74
2013-04-13,15.4
2013-04-13,15.69
2013-04-15,15.98
2013-04-16,16.28
2013-04-17,10.44
2013-04-21,21.73
2013-04-23,16.47
2013-04-24,15.4
2013-04-27,13.06
2013-04-28,14.97
2013-04-29,14.97
2013-05-01,14.97
2013-05-02,14.97
2013-05-03,14.97
2013-05-04,14.95
2013-05-05,14.91
2013-05-07,14.87
2013-05-09,14.13
2013-05-10,14.13
2013-05-11,13.42
2013-05-13,13.42
2013-05-14,12.75
2013-05-15,12.75
2013-05-17,12.32
2013-05-21,13.04
2013-05-22,12.39
2013-06-17,12.91
2013-06-20,17.98
2013-06-20,17.98
2013-06-23,14.84
2013-06-25,14.1
2013-07-17,13.46
2013-07-18,12.79
2013-07-18,12.79
2013-08-04,12.71
2013-09-18,11.05
2013-09-19,11.05
2013-09-27,11.31
2013-09-30,11.04
2013-10-02,19.95
2013-10-03,18.62
2013-10-05,17.86
2013-10-05,17.86
2013-10-06,17.86
2013-10-08,19.47
2013-10-08,19.47
2013-10-08,19.95
2013-10-09,15.95
2013-10-11,12.06
2013-10-15,12.06
2013-10-16,15.95
2013-10-20,15.69
2013-10-21,15.73
2013-10-22,15.53
2013-10-23,15.95
2013-11-06,15.75
2013-11-08,15.08
2013-11-09,15.15
2013-11-11,15.05
2013-11-19,14.15
2013-11-21,14.15
2013-12-17,13.19
2013-12-18,13.19
2013-12-20,13.15
2013-12-22,13.19
2013-12-23,12.73
2013-12-25,16.04
2014-01-28,20.54
2014-02-25,15.95
2016-11-26,15.95
2014-06-09,4.95
2015-04-02,4.95
2015-07-16,4.95
2016-11-26,26.02
2016-11-27,26.02
