Time,Price
2012-06-01,19.99
2012-07-04,19.99
2012-07-05,19.99
2012-07-26,16.89
2012-07-31,19.99
2013-01-27,19.99
2013-02-13,19.99
2013-02-25,19.99
2013-03-12,19.99
2013-04-22,19.99
2013-04-24,19.99
2013-05-08,19.99
2013-06-02,19.99
2013-06-09,19.99
2013-06-13,19.99
2013-07-14,19.99
2013-08-04,19.99
2013-08-22,19.99
2013-09-14,19.99
2013-10-05,19.99
2013-10-27,19.99
2013-11-22,19.25
2013-12-12,19.99
2014-01-05,19.99
2014-02-03,19.99
2014-02-24,19.99
2014-05-07,19.99
2014-06-21,19.67
2014-07-11,19.68
2014-07-30,19.99
2014-08-06,19.99
2014-09-18,19.99
2016-03-24,18
2016-03-28,17.68
2016-03-31,17.65
2016-04-03,19.99
2016-04-10,19.99
2016-04-14,17.74
2016-04-27,19.99
2016-05-11,19.99
2016-09-20,19.61
2016-10-31,17.74
2016-11-05,19.91
2016-11-10,18.14
2016-11-14,18.14
2016-11-20,18.14
2016-11-26,18.14
