Time,Price
2012-06-23,19.71
2012-06-26,19.68
2012-06-27,19.58
2012-06-28,19.71
2012-06-29,19.46
2012-06-29,19.7
2012-06-29,19.7
2012-06-30,19.71
2012-06-30,19.47
2012-07-01,19.56
2012-07-01,19.56
2012-07-02,19.46
2012-07-02,19.44
2012-07-03,19.63
2012-07-03,19.21
2012-07-04,19.11
2012-07-04,19.21
2012-07-05,19.21
2012-07-05,18.58
2012-07-05,18.58
2012-07-06,18.58
2012-07-06,18.77
2012-07-07,18.96
2012-07-07,18.96
2012-07-08,19.09
2012-07-08,19.09
2012-07-08,19.09
2012-07-09,19.09
2012-07-10,19.1
2012-07-10,19.1
2012-07-11,19.1
2012-07-11,19.1
2012-07-12,18.77
2012-07-12,18.77
2012-07-12,18.77
2012-07-13,18.77
2012-07-14,18.84
2012-07-14,18.84
2012-07-15,18.94
2012-07-16,18.9
2012-07-16,18.9
2012-07-17,18.9
2012-07-17,18.9
2012-07-18,18.98
2012-07-18,18.98
2012-07-19,18.94
2012-07-19,18.94
2012-07-19,18.94
2012-07-20,18.94
2012-07-20,18.94
2012-07-20,18.94
2012-07-21,18.94
2012-07-21,18.94
2012-07-22,18.99
2012-07-22,18.99
2012-07-23,18.99
2012-07-24,18.99
2012-07-24,18.99
2012-07-25,19
2012-07-25,19
2012-07-26,18.99
2012-07-27,19.01
2012-07-27,19.01
2012-07-28,19.01
2012-07-29,19.01
2012-07-30,19
2012-07-30,19
2012-07-31,19.65
2012-08-01,19.65
2012-08-01,19.65
2012-08-02,19.65
2012-08-02,19.65
2012-08-03,19.65
2012-08-04,19.59
2012-08-05,18.72
2012-08-06,19.53
2012-08-07,18.83
2012-08-07,18.83
2012-08-08,18.83
2012-08-09,18.83
2012-08-10,18.83
2012-08-11,18.98
2012-08-12,19.26
2012-08-12,19.38
2012-08-13,19.38
2012-08-13,19.38
2012-08-14,19.96
2012-08-15,19.96
2012-08-16,19.96
2012-08-17,19.02
2012-08-17,18.82
2012-08-18,18.88
2012-08-18,18.88
2012-08-19,19.96
2012-08-19,19.96
2012-08-20,19.96
2012-08-21,19.96
2012-08-21,19.96
2012-08-22,19.96
2012-08-24,19.83
2012-09-13,18
2012-09-13,18
2012-09-13,18
2012-09-15,18
2012-09-18,18
2012-09-19,18
2012-09-20,18
2012-09-21,18
2012-09-21,18
2012-09-22,18
2012-09-23,18
2012-09-24,18
2012-09-24,18
2012-09-25,18
2012-09-28,18
2012-09-29,18
2012-10-02,18
2012-10-02,18
2012-10-03,18
2012-10-05,18
2012-10-06,18
2012-10-08,18
2012-10-08,18
2012-10-09,18
2012-10-16,18
2012-10-19,18
2012-10-24,18
2012-10-25,18
2012-10-29,18
2012-10-31,18
2012-11-01,18
2012-11-01,18
2012-11-03,18
2012-11-06,18
2012-11-07,18
2012-11-07,18
2012-11-09,18
2012-11-12,18
2012-11-15,18
2012-11-15,18
2012-11-16,18
2012-11-17,18
2012-11-18,18
2012-11-19,18
2012-11-20,18
2012-11-24,9.99
2012-11-25,10
2012-11-27,18.31
2012-11-27,18.31
2012-11-28,18.31
2012-11-30,18.31
2012-11-30,18.31
2012-12-01,18.31
2012-12-02,18.31
2012-12-03,18.3
2012-12-04,18.3
2012-12-05,18.32
2012-12-05,18.32
2012-12-06,18.32
2012-12-06,18.32
2012-12-06,18.32
2012-12-07,18.28
2012-12-08,18.28
2012-12-08,18.32
2012-12-09,18.32
2012-12-10,18.28
2012-12-11,18.32
2012-12-13,18.27
2012-12-15,18.27
2012-12-15,18.27
2012-12-16,18.27
2012-12-17,18.27
2012-12-18,18.27
2012-12-19,18.32
2012-12-19,18.31
2012-12-20,18.29
2012-12-21,18.32
2012-12-22,18.32
2012-12-22,18.32
2012-12-23,18.32
2012-12-24,18.32
2012-12-25,18.32
2012-12-27,18.32
2012-12-29,18.32
2013-01-01,18.56
2013-01-03,18.58
2013-01-04,18.58
2013-01-06,18.85
2013-01-07,18.85
2013-01-10,18.3
2013-01-10,18.3
2013-01-11,18.3
2013-01-13,18.3
2013-01-13,18.33
2013-01-14,18.33
2013-01-15,18.26
2013-01-17,18.26
2013-01-18,17.6
2013-01-19,17.78
2013-01-27,18.26
2013-01-28,18.52
2013-01-28,18.52
2013-03-14,19.57
2013-03-17,19.75
2013-03-18,19.92
2013-03-19,19.99
2013-03-19,19.35
2013-03-21,19.35
2013-03-24,19.6
2013-03-24,19.6
2013-03-25,19.6
2013-03-26,19.29
2013-03-27,19.29
2013-04-08,19.2
2013-04-16,19.65
2013-04-17,19.65
2013-04-17,19.65
2013-04-17,19.65
2013-04-18,19.65
2014-12-05,12.34
2014-12-06,16.74
2014-12-07,16.74
2014-12-08,16.74
2014-12-08,17.08
2014-12-09,17.08
2014-12-10,15.08
2014-12-10,14.65
2014-12-11,14.36
2014-12-12,13.91
2014-12-15,14.96
2014-12-19,14.96
2014-12-21,14.96
2014-12-30,18.99
2015-01-04,14.99
2015-01-06,14.99
