Time,Price
2015-06-03,8.47
2015-06-04,8.47
2015-06-13,8.51
2015-07-03,9.43
2015-07-04,9.91
2015-07-04,9.99
2015-07-05,8.25
2015-07-06,7.99
2015-07-07,8.22
2015-07-13,8.22
2015-07-14,6.32
2015-07-16,7.74
2015-07-17,6.24
2015-07-17,8
2015-07-20,7.98
2015-07-20,8.37
2015-07-23,8
2015-07-24,7.74
2015-07-28,7.95
2015-07-31,7.09
2015-08-13,9.99
2015-08-20,9.99
2015-08-24,9.82
2015-08-26,9.99
2015-08-28,7.09
2015-08-29,9.99
2015-09-02,7.09
2015-09-03,8.26
2015-09-05,6.97
2015-09-06,6.96
2015-09-11,7.23
2015-09-12,6.97
2015-09-14,6.96
2015-09-16,6.97
2015-09-19,6.96
2015-09-24,6.97
2015-09-26,6.96
2015-09-30,6.97
2015-10-03,7.23
2015-10-04,6.97
2015-10-05,6.96
2015-11-03,9.25
2015-11-03,8.94
2015-11-05,9.08
2015-11-07,9.99
2015-11-15,9.99
2015-11-19,9.99
2015-12-03,9.99
2015-12-05,9.99
2015-12-07,9.99
2015-12-09,9.99
2015-12-11,8.91
2015-12-14,8.91
2015-12-15,9.15
2015-12-17,8.91
2015-12-18,7.97
2015-12-20,7.97
2015-12-21,8
2015-12-23,9.15
2015-12-30,9.15
2016-01-01,6.97
2016-01-02,9.57
2016-01-03,6.97
2016-01-04,9.99
2016-01-05,6.97
2016-01-12,8.93
2016-01-29,9.93
2016-01-31,9.93
2016-02-03,9.93
2016-02-05,9.93
2016-02-11,9.91
2016-02-13,9.94
2016-02-15,9.91
2016-02-17,8.93
2016-04-13,8.99
2016-04-16,9.99
2016-04-17,9.99
2016-04-25,8.6
2016-04-26,8.6
2016-05-09,8.2
2016-05-10,8.2
2016-05-11,8.2
2016-05-13,8.2
2016-05-17,8.2
2016-05-23,8.2
2016-06-01,8.2
2016-06-01,8.2
2016-06-04,7.99
2016-06-07,7.99
2016-06-09,7.99
2016-06-21,7.99
2016-06-21,7.97
2016-06-24,7.97
2016-06-26,7.97
2016-06-26,7.97
2016-06-27,7.97
2016-06-28,7.97
2016-06-29,7.97
2016-07-23,7.97
2016-07-24,7.97
2016-07-26,7.97
2016-07-27,8.11
2016-07-28,8.13
2016-08-08,6.99
2016-08-11,7.02
2016-08-11,7
2016-08-14,6.99
2016-09-18,6.99
2016-09-20,6.99
2016-09-21,8
2016-10-18,6.98
2016-10-19,6.98
2016-10-20,8
2016-10-22,8.01
2016-10-23,6.98
2016-10-24,6.98
2016-10-27,6.98
2016-10-30,7.97
2016-10-31,6.98
2016-11-01,6.98
2016-11-02,7.11
2016-11-02,7.11
2016-11-05,6.98
2016-11-05,6.98
2016-11-07,6.98
2016-11-08,8
2016-11-09,8
2016-11-10,7.97
2016-11-10,7.97
2016-11-10,7.97
2016-11-10,7.97
2016-11-11,7.97
2016-11-11,6.98
2016-11-11,6.98
2016-11-12,9.99
2016-11-12,9.99
2016-11-13,9.99
2016-11-13,9.99
2016-11-13,9.51
2016-11-14,9.51
2016-11-14,9.51
2016-11-14,9.51
2016-11-15,9.36
2016-11-15,9.36
2016-11-16,9.36
2016-11-16,9.36
2016-11-16,9.36
2016-11-16,9.36
2016-11-17,9.36
2016-11-17,9.55
2016-11-17,9.55
2016-11-17,9.55
2016-11-18,9.55
2016-11-18,9.55
2016-11-18,7.99
2016-11-19,7.99
2016-11-19,8.84
2016-11-19,7.99
2016-11-19,7.99
2016-11-20,7.99
2016-11-20,7.99
2016-11-20,9.58
2016-11-20,7.99
2016-11-20,9.62
2016-11-21,9.62
2016-11-21,9.62
2016-11-21,7.99
2016-11-21,7.99
2016-11-22,8.07
2016-11-22,8.08
2016-11-22,9.28
2016-11-23,9.28
2016-11-23,9.28
2016-11-23,9.28
2016-11-23,9.99
2016-11-24,9.99
2016-11-24,9.99
2016-11-24,9.99
2016-11-24,9.99
2016-11-25,9.99
2016-11-25,9.99
2016-11-25,9.99
2016-11-26,9.99
2016-11-26,9.99
2016-11-26,9.99
2016-11-26,9.99
