Time,Price
2012-06-06,18.61
2012-06-07,18.28
2012-06-08,18.28
2012-06-08,18.31
2012-06-09,18.31
2012-06-10,18.31
2012-06-11,18.31
2012-06-13,18.31
2012-06-14,18.31
2012-06-15,18.41
2012-06-16,18.31
2012-06-17,18.39
2012-06-18,18.39
2012-06-19,18.39
2012-06-21,18.28
2012-06-22,18.39
2012-06-23,18.39
2012-06-25,18.39
2012-06-26,18.39
2012-06-26,18.28
2012-06-27,18.39
2012-06-28,18.39
2012-06-28,18.39
2012-06-29,18.28
2012-06-29,18.39
2012-06-30,18.39
2012-06-30,18.39
2012-07-01,18.39
2012-07-01,18.39
2012-07-02,18.28
2012-07-02,18.39
2012-07-03,18.28
2012-07-04,18.28
2012-07-04,18.28
2012-07-05,18.39
2012-07-06,18.39
2012-07-06,18.37
2012-07-07,18.37
2012-07-08,19.55
2012-07-09,18.37
2012-07-10,18.39
2012-07-11,19.55
2012-07-11,19.55
2012-07-12,19.55
2012-07-12,19.55
2012-07-13,19.55
2012-07-13,19.55
2012-07-14,19.55
2012-07-15,19.55
2012-07-16,19.55
2012-07-17,19.55
2012-07-18,19.65
2012-07-19,19.79
2012-07-19,19.55
2012-07-20,19.96
2012-07-21,19.78
2012-07-21,19.55
2012-07-22,19.65
2012-07-23,19.65
2012-07-23,19.65
2012-07-24,19.65
2012-07-25,19.55
2012-07-25,19.55
2012-07-26,19.65
2012-07-26,19.35
2012-07-27,19.55
2012-07-28,19.65
2012-07-29,19.55
2012-07-29,19.65
2012-07-30,19.96
2012-07-31,19.96
2012-08-01,19.96
2012-08-03,19.96
2012-08-07,19.96
2012-08-07,19.96
2012-08-12,19.96
2012-08-13,19.68
2012-08-15,19.96
2012-08-16,19.96
2012-08-17,19.96
2012-08-19,19.96
2012-09-10,19.96
2012-09-13,19.96
2012-09-14,19.68
2012-09-15,19.52
2012-09-18,19.96
2012-09-19,19.96
2012-09-20,19.96
2012-09-21,19.93
2012-09-24,19.93
2012-09-24,19.93
2012-09-25,19.93
2012-09-26,19.93
2012-10-10,19.26
2012-10-11,19.26
2012-10-12,19.3
2012-10-16,19.26
2012-10-17,19.3
2012-10-18,19.3
2012-10-19,19.16
2012-10-24,18.36
2012-10-25,18.36
2012-10-26,18.36
2012-10-29,18.38
2012-10-30,18.38
2012-11-01,18.38
2012-11-03,18.38
2012-11-06,18.38
2012-11-07,18.38
2012-11-07,18.38
2012-11-07,18.38
2012-11-09,18.38
2012-11-10,18.38
2012-11-10,18.38
2012-11-10,18.38
2012-11-11,18.38
2012-11-12,18.38
2012-11-13,18.38
2012-11-13,18.38
2012-11-14,18.38
2012-11-15,18.38
2012-11-15,18.38
2012-11-16,18.38
2012-11-17,18.38
2012-11-18,18.38
2012-11-19,18.38
2012-11-20,18.38
2012-11-21,18.57
2012-11-22,18.36
2012-11-28,19.99
2012-11-29,19.99
2012-11-30,19.99
2012-12-01,19.99
2012-12-02,19.99
2012-12-02,19.99
2012-12-03,19.99
2012-12-04,18.44
2012-12-04,18.44
2012-12-05,19
2012-12-06,19
2012-12-06,18.02
2012-12-06,18.02
2012-12-07,19
2012-12-08,18.21
2012-12-08,19
2012-12-09,19
2012-12-11,19
2012-12-11,19
2012-12-13,19
2012-12-14,19
2012-12-15,18.21
2012-12-15,18.21
2012-12-15,18.21
2012-12-16,19
2012-12-17,19.26
2012-12-18,19.99
2012-12-18,19.99
2012-12-19,19.16
2012-12-19,19.99
2012-12-19,19.16
2012-12-20,19.99
2012-12-21,19.99
2012-12-22,19
2012-12-22,19
2012-12-23,19
2012-12-24,19
2012-12-24,19
2012-12-25,19.99
2012-12-27,19.99
2012-12-28,19.99
2012-12-28,19.99
2012-12-29,19.99
2012-12-29,19.99
2012-12-29,19.99
2013-01-01,19.99
2013-01-03,19.99
2013-01-04,19.99
2013-01-04,19.99
2013-01-06,19
2013-01-10,19
2013-01-11,19
2013-01-13,19
2013-01-14,19
2013-01-14,19
2013-01-17,19
2013-01-18,19
2013-01-19,19
2013-01-20,18.57
2013-01-21,18.57
2013-01-24,19
2013-01-25,18.83
2013-01-27,19
2013-01-28,18.57
2013-01-30,19
2013-02-07,19
2013-02-08,19
2013-02-09,19
2013-02-11,19
2013-02-13,19
2013-02-14,19
2013-02-16,19
2013-03-01,19.99
2013-03-17,19.99
2013-03-27,19.99
2013-04-06,19.35
2013-04-11,19.99
2013-04-28,17.7
2013-05-03,17.62
2013-05-04,17.52
2013-05-04,17.34
2013-05-06,17.34
