Time,Price
2012-06-03,49.9
2012-06-17,49.13
2012-06-28,29.99
2012-06-30,29.99
2012-07-01,29.99
2012-07-02,29.99
2012-07-02,40.79
2012-07-03,40.51
2012-07-04,29.99
2012-07-05,29.99
2012-07-06,29.99
2012-07-06,29.99
2012-07-07,29.99
2012-07-07,29.99
2012-07-08,29.99
2012-07-09,29.99
2012-07-10,29.99
2012-07-11,29.99
2012-07-11,29.99
2012-07-12,29.99
2012-07-12,40.82
2012-07-18,40.48
2012-07-27,29.99
2012-07-28,29.99
2012-09-02,19.99
2012-09-03,19.99
2012-09-05,19.99
2012-09-10,19.99
2012-09-10,19.99
2012-09-11,19.99
2012-09-12,19.99
2012-09-13,19.99
2012-09-13,19.99
2012-09-14,19.99
2012-09-21,39.92
2012-09-21,39.96
2012-09-22,39.96
2012-09-23,39.96
2012-09-24,39.96
2012-11-21,34.82
2012-11-22,34.82
2013-01-07,21.35
2013-01-23,21.24
2013-02-09,20.86
2013-02-22,20.93
2013-03-09,19.99
2013-03-21,19.99
2013-04-17,14.12
2013-05-15,15.7
2013-05-27,19.99
2016-11-26,19.99
